id,type,genres,average_rating,num_votes
3666,movie,Documentary,7.0,2969
3667,tvSeries,"Drama,History,Romance",8.2,1146
3668,movie,"Drama,Thriller",8.1,378401
3669,tvMiniSeries,"Crime,Documentary",7.0,1763
3670,movie,"Comedy,Mystery,Thriller",5.4,490
3671,tvMovie,"Animation,Comedy,Family",7.6,3744
3672,short,"Documentary,Drama,Short",7.1,303
3673,tvMiniSeries,"Biography,Drama,History",7.9,7359
3674,tvEpisode,"Animation,Comedy",7.1,367
3675,movie,Drama,6.6,15
3676,movie,"Drama,Romance",5.4,1049
3677,tvSpecial,"Comedy,Documentary",6.7,738
3678,movie,"Adventure,Comedy,Drama",7.0,13890
3679,movie,"Drama,Horror",8.0,196641
3680,movie,"Crime,Drama",7.3,143068
3681,movie,"Action,Comedy",5.7,20681
3682,movie,"Biography,Drama,Romance",7.5,696
3683,tvSeries,"Action,Crime,Sci-Fi",6.4,576
3684,movie,"Drama,Mystery",6.4,582
3685,short,"Drama,Short,Sport",7.1,12
3686,movie,"Action,Comedy,Crime",6.8,39310
3687,movie,"Action,Comedy,Drama",4.8,1271
3688,tvEpisode,"Adventure,Drama,Romance",8.8,1002
3689,tvSeries,"Drama,Romance",7.6,1055
3690,movie,"Comedy,Romance",5.6,93798
3691,movie,"Family,Romance",6.2,1348
3692,tvShort,"Drama,Short,Thriller",6.0,5
3693,movie,Thriller,4.3,441
3694,movie,"Comedy,Romance",6.6,2421
3695,movie,"Biography,Documentary,Music",8.4,4270
3696,tvSpecial,Comedy,7.4,1323
3697,movie,Family,4.2,568
3698,tvSpecial,Comedy,6.6,1723
3699,tvSpecial,Comedy,7.1,1557
3700,tvSeries,"Adventure,Comedy,Drama",7.9,68735
3701,movie,"Crime,Drama,Thriller",7.1,23759
3702,tvSpecial,"Comedy,Documentary",7.3,818
3703,movie,"Action,Crime",5.2,600
3704,movie,"Action,Adventure,Crime",6.0,139364
3705,movie,Comedy,4.0,129
3706,movie,"Action,Thriller",5.2,16040
3707,movie,Drama,7.1,253
3708,movie,"Crime,Drama,Thriller",6.6,125
3709,movie,"Drama,Thriller",7.4,193
3710,movie,"Horror,Thriller",4.2,1502
3711,movie,Documentary,6.2,1609
3712,movie,Documentary,7.4,1367
3713,movie,Comedy,5.3,387
3714,movie,"Drama,Romance",8.4,2958
3715,tvSeries,Romance,7.4,524
3716,short,"Fantasy,Romance,Short",7.3,54
3717,short,"Horror,Sci-Fi,Short",6.9,16
3718,tvSeries,"Crime,Drama,Mystery",7.3,33158
3719,movie,"Comedy,Drama,Romance",7.0,121160
3720,movie,"Adventure,Animation,Comedy",5.6,2495
3721,movie,"Action,Crime,Drama",6.5,621
3722,movie,"Action,Crime,Drama",6.8,3826
3723,movie,"Drama,Romance",8.3,11513
3724,movie,"Comedy,Romance",7.1,53
3725,movie,Drama,6.9,33
3726,tvSeries,"Action,Mystery",7.0,92
3727,movie,"Action,Thriller",5.7,62
3728,movie,"Action,Adventure,Drama",7.8,2232
3729,movie,Documentary,7.9,360
3730,movie,"Comedy,Drama",3.5,87
3731,tvSpecial,Comedy,6.3,373
3732,tvSpecial,"Comedy,Documentary",7.3,594
3733,video,Comedy,4.6,33
3734,short,"Documentary,Short",6.4,56
3735,movie,Drama,7.6,737
3736,movie,"Biography,Drama",6.6,6680
3737,tvSeries,Animation,4.9,22
3738,movie,"Documentary,Music",6.4,414
3739,movie,"Action,Drama",4.4,4197
